,Track Name,Artist,Artist Popularity,Artist Genres,Track Duration(ms),Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_signature,Lyrics
10,Lovin On Me,Jack Harlow,83,"deep underground hip hop, kentucky hip hop, pop rap, rap",138411,2023-11-10,98,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,4,"I don't like no whips and chains, and you can't tie me down
But you can whip your lovin' on me, baby
Whip your lovin' on me, baby

I'm vanilla, baby, I'll choke you, but I ain't no killer, baby (I don't like no whips and chains)
She 28, telling me I'm still a baby (and you can't tie me down)
I get love from Detroit like Skilla Baby (but you can whip your lovin' on me, baby)
And the thing about your boy is (whip your lovin' on me, baby)
I don't like no whips and chains, and you can't tie me down
But you can whip your lovin' on me, baby (that's right, that's right)
Whip your lovin' on me, baby

Young J-A-C-K, AKA Rico, like Suave, Young Enrique
Speaking of AKA, she's a alpha
But not around your boy, she get quiet 'round your boy, hold on (shh)
Don't know what you heard or what you thought about your boy
But they lied about your boy, goin' dumb, and it's some' idiotic about your boy
She wearing cheetah print
That's how bad she wanna be spotted around your boy

...
"
11,Here With Me,d4vd,77,bedroom pop,242484,2022-09-22,15,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,4,"Watch the sunrise along the coast
As we're both getting old
I can't describe what I'm feeling
And all I know is we're going home
So please don't let me go, oh
Don't let me go, oh-oh-oh

And if it's right
I don't care how long it takes
As long as I'm with you
I've got a smile on my face
...
"
12,cardigan,Taylor Swift,100,pop,239560,2020-07-24,54,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4,"Vintage tee, brand new phone
High heels on cobblestones
When you are young, they assume you know nothing
Sequin smile, black lipstick
Sensual politics
When you are young, they assume you know nothing
But I knew you
Dancin' in your Levi's
Drunk under a streetlight, I
I knew you
Hand under my sweatshirt
Baby, kiss it better, I
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite
A friend to all is a friend to none
Chase two girls, lose the one
When you are young, they assume you know nothin'
But I knew you
...
"
13,Happier Than Ever,Billie Eilish,88,"art pop, pop",298899,2021-07-30,87,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,3,"When I'm away from you, I'm happier than ever
Wish I could explain it better
I wish it wasn't true
Give me a day or two to think of something clever
To write myself a letter
To tell me what to do, mm-mm

Do you read my interviews?
Or do you skip my avenue? (My avenue)
When you (when you) said you were passing through
Was I even on your way?

I knew when I asked you to (when I asked you to)
Be cool about what I was telling you
You'd do the opposite of what you said you'd do (what you said you'd do)
And I'd end up more afraid

...
"
14,Kill Bill,SZA,90,"pop, r&b, rap",153946,2022-12-08,91,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4,"I'm still a fan even though I was salty
Hate to see you with some other broad, know you happy
Hate to see you happy if I'm not the one driving

I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one should
I might

I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone

I get the sense that it's a lost cause
I get the sense that you might really love her
...
"
15,traitor,Olivia Rodrigo,88,pop,229226,2021-05-21,89,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,4,"Brown guilty eyes and little white lies, yeah
I played dumb, but I always knew
That you talked to her, maybe did even worse
I kept quiet so I could keep you

And ain't it funny how you ran to her
The second that we called it quits?
And ain't it funny how you said you were friends?
Now it sure as hell don't look like it

You betrayed me
And I know that you'll never feel sorry for the way I hurt, yeah
You talked to her when we were together
Loved you at your worst, but that didn't matter
It took you two weeks to go off and date her
Guess you didn't cheat, but you're still a traitor

...
"
16,My Love Mine All Mine,Mitski,84,"brooklyn indie, pov: indie",137773,2023-09-15,98,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4,"Moon, a hole of light
Through the big top tent up high
Here before and after me
Shinin' down on me
Moon, tell me if I could
Send up my heart to you?
So, when I die, which I must do
Could it shine down here with you?
...
"
17,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,95,"canadian contemporary r&b, canadian pop, pop",191013,2021-04-23,83,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,4,"Ooh (ooh)
Nah-nah, yeah

I saw you dancing in a crowded room (uh)
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye

I don't know why I run away (oh, oh, oh, oh, oh)
I'll make you cry when I run away (oh, oh, oh, oh, oh)

Take me back 'cause I wanna stay
Save your tears for another

...
"
18,CUFF IT,Beyoncé,87,"pop, r&b",225388,2022-07-29,85,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,4,"I feel like falling in love (falling in love)
I'm in the mood to roll something up (tonight I'm rolling something up, baby)
I need some drink in my cup (I need a drink), hey (pour me a drink)
I'm in the mood to pour something up (I'm in the mood to pour something up)

I wanna go missing, I need a prescription
I wanna go higher, can I sit on top of you? (Oh-la-la-la-la)
I wanna go where nobody's been (I wanna go where nobody's been)
Have you ever had fun like this? (Have you ever had fun like this?) oh, woah

We gon' roll up tonight, black lights
Spaceships fly (spaceships fly), yeah
Unapologetic when we pull up tonight (roll it up, roll it up), pull up tonight
We gettin' poured up tonight
We gon' pull up tonight

Bet you you'll see far
Bet you you'll see stars
Bet you you'll elevate
Bet you you'll need God
'Cause I feel like falling in love
I'm in the mood to pour something up
'Cause we gon' roll up tonight

What's in these four walls? You sexy, my love (turn it up)
Don't miss this roll call, is you here or what? (Roll it up), yeah
Show up, show up (show up, show up), pour up, pour up (pour up, pour up), oh
...
"
19,Boy's a liar Pt. 2,PinkPantheress,76,bedroom pop,131013,2023-02-03,83,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,4,"Take a look inside your heart, is there any room for me?
I won't have to hold my breath 'til you get down on one knee
Because you only want to hold me when I'm looking good enough
Did you ever feel me? Would you ever picture us?
Every time I pull my hair, well, it's only out of fear
That you'll find me ugly and one day you'll disappear because

What's the point of crying? It was never even love
Did you ever want me? Was I ever good enough?

The-the boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy
The boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy

...
"
20,Dynamite,BTS,87,"k-pop, k-pop boy group, pop",199053,2020-08-21,0,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4,"Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
...
"
21,STAY (with Justin Bieber),The Kid LAROI,79,australian hip hop,141805,2021-07-09,85,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,4,"I do the same thing, I told you that I never would
I told you I changed, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey

I get drunk, wake up, I'm wasted still
I realize the time that I wasted here
I feel like you can't feel the way I feel
I'll be fucked up if you can't be right here

Oh-whoa (oh-whoa, whoa)
Oh-whoa (oh-whoa, whoa)
Oh-whoa (oh-whoa, whoa)
I'll be fucked up if you can't be right here

I do the same thing, I told you that I never would
I told you I changed, even when I knew I never could
...
"
22,Blinding Lights,The Weeknd,95,"canadian contemporary r&b, canadian pop, pop",201573,2019-11-29,19,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,4,"Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (oh)
No one's around to judge me (oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
...
"
23,redrum,21 Savage,92,"atl hip hop, hip hop, rap",270697,2024-01-12,97,0.624,0.74,2,-8.445,1,0.0481,0.00529,0.000224,0.5,0.246,172.089,4,"Cai, a noite sobre o nosso amor
Cai, e agora só restou do amor
Uma palavra
Adeus
Adeus
Adeus
Adeus
Whoa, whoa, whoa (mas tendo de ir embora)

Want it all, I won't leave a breadcrumb
B-, what? I thought a n- said somethin'
Thought a n- said somethin'
G Block, all we know is redrum
Redrum, redrum, redrum, redrum
G Block, all we know is redrum
Redrum, redrum, redrum, redrum
N-, all we know is- (redrum)

Ridin' in the back, it's a May' (it's a May')
32 shots in the K (in the K)
Marathon, I really run the A (run the A)
Say you touched me, how, Sway? (How, Sway?)
Graveyard, that's where the opps stay (opps stay)
Hypnotize, they do what I say (what I say)
21, n- don't play (don't play)
My Glock Gen5 said hey (said hey)

Take my ch- everywhere, that's bae (that's bae)
Get yo' a- out the car, you givin' Tre (givin' Tre)
We been spinnin' through they hood all day (all day)
...
"
24,What You Know Bout Love,Pop Smoke,80,"brooklyn drill, rap",160000,2020-07-03,82,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,4,"Uh

Shawty go jogging every morning (every morning)
And she make me breakfast almost every morning (every morning)
And she take a naked pic' before she leave the door
I be waking up to pics before a n- yawning

And every weekend, my shawty comin' over (over)
Shawty could Fendi out but she like Fashion Nova (Nova)
She ain't driving no Camry, she pullin' in a Rover (Rover)
With her hair so curly, I love you, baby

She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (oh)
Walk up in the store and get what you want (go get it)
You get what you please
We 'bout to get it on, take off them drawers (said I love you, baby)
...
"
25,Blueberry Faygo,Lil Mosey,67,"melodic rap, rap conscient",162546,2020-02-06,77,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,4,"Damn, Callan (Damn, Callan)

One bad bitch and she do what I say so (One, gang)
Two big .40s and a big ass Draco (Two, boom, boom)
Three more millions when you ask how my day go (Three)
Poured up a four, now that blueberry Faygo
One false move, and we straight to shooting shit
Two small bands just to take you out real quick (Bands)
Three more hoes, pull up, I'm fucking shit (Three more, gang)
That's how it goes, big bands, I'm thumbin' shit (That's how it goes)

Ayy, one bad bitch and she do what I say so (Yeah, gang)
Two big .40s and a big ass Draco (Two)
Three more millions when you ask how my day go
Poured up a four, now that blueberry Faygo
One false move, and we straight to shooting shit
Two small bands just to take you out real quick (Bands)
Three more hoes, pull up, I'm fucking shit (Three, yeah)
That's how it goes, big bands, I'm thumbin' shit (Gang)

I'm with my niggas, yeah, we some rockstars
And I'm with my nigga, yeah, KK Wokhardt (KK Wokhardt)
...
"
26,Levitating (feat. DaBaby),Dua Lipa,88,"dance pop, pop, uk pop",203064,2020-10-01,73,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,4,"BILLBOARD BABY, Dua Lipa make 'em dance when it come on
E'rybody lookin' for a dance floor to run on

If you wanna run away with me, I know a galaxy
And I can take you for a ride
I had a premonition that we fell into a rhythm
Where the music don't stop for life
Glitter in the sky, glitter in my eyes
Shining just the way I like
If you're feeling like you need a little bit of company
You met me at the perfect time

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yeah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (you're the moonlight)
I need you all night, come on, dance with me
I'm levitating

I'm one of the greatest, ain't no debatin' on it (let's go)
I'm still levitatin', I'm heavily medicated
Ironic, I gave 'em love, and they end up hatin' on me (cold)
She told me she love me, and she'd been waitin'
Been fightin' hard for your love, and I'm runnin' thin on my patience
Needed someone to hug, even took it back to the basics

You see what you got me out here doin'? (Yeah)
Might've threw me off, but can't nobody stop the movement, uh-uh
...
"
27,MONTERO (Call Me By Your Name),Lil Nas X,76,lgbtq+ hip hop,137875,2021-03-31,75,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,4,"I caught it bad yesterday
You hit me with a call to your place
Ain't been out in a while anyway
Was hoping I could catch you throwing smiles in my face

Romantic talking? You don't even have to try
You're cute enough to fuck with me tonight
Looking at the table all I see is weed and white
Baby, you living the life, but nigga, you ain't livin' right

Cocaine and drinking with your friends
You live in the dark, boy, I cannot pretend
I'm not fazed, only here to sin
If Eve ain't in your garden, you know that you can

Call me when you want, call me when you need
Call me in the morning, I'll be on the way
Call me when you want, call me when you need
Call me out by your name, I'll be on the way like

...
"
28,drivers license,Olivia Rodrigo,88,pop,242013,2021-01-08,28,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,4,"I got my driver's license last week
Just like we always talked about
'Cause you were so excited for me
To finally drive up to your house
But today, I drove through the suburbs
Crying 'cause you weren't around

And you're probably with that blonde girl
Who always made me doubt
She's so much older than me
She's everything I'm insecure about
Yeah, today I drove through the suburbs
'Cause how could I ever love someone else?

And I know we weren't perfect
But I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
...
"
29,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,88,"art pop, pop",222369,2023-07-13,94,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,4,"Hm, hm

I used to float, now I just fall down
I used to know, but I'm not sure now
What I was made for

What was I made for?

Taking a drive, I was an ideal
Looked so alive, turns out I'm not real
Just something you paid for

What was I made for? Hm

'Cause I, I
...
"
30,Woman,Doja Cat,87,"dance pop, pop",172626,2021-06-25,86,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,4,"Hey, woman
Hey, woman

Woman
Let me be your woman
Woman, woman, woman
I can be your woman
Woman, woman, woman
Let me be your woman
Woman, woman, woman
I can be your woman
Woman, woman, woman

Know what you need
She give tenfold, come here, papa, plant your seed
She can grow it from the womb, a family
Provide loving, overlooked and unappreciated, you see? (Yeah)

You can't reciprocate, I got delicious taste
You need a woman's touch in your place
Just protect her and keep her safe
Baby, worship my hips and waist
So feminine with grace
I touch your soul when you hear me say
""(Boy), let me be your woman""
...
"
31,Unholy (feat. Kim Petras),Sam Smith,83,"pop, uk pop",156943,2022-09-22,84,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,4,"Dirty, dirty boy
You know everyone is talking on the scene
I hear them wishpering 'bout the places that you've been
And how you don't know how to keep your business clean

Mummy don't know daddy's getting hot
At the body shop, doing something unholy
He's sat back while she's dropping it, she be popping it
Yeah, she put it down slowly

Oh-ee-oh-ee-oh, he left his kids at
...
"
32,WAP (feat. Megan Thee Stallion),Cardi B,78,"pop, rap",187541,2020-08-07,80,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,4,"Wh- in this house
There's some wh- in this house
There's some wh- in this house
There's some wh- in this house (hol' up)
I said certified freak, seven days a week
Wet and gushy, make that pull-out game weak, woo (ah)

Yeah, yeah, yeah, yeah
Yeah, you dealin' with some wet and gushy
Bring a bucket and a mop for this wet and gushy
Give me everything you got for this wet and gushy

Beat it up, baby, catch a charge
Extra large and extra hard
Put this cookie right in yo' face
Swipe your nose like a credit card
Hop on top, I want a ride
I do a kegel, I'm kinda wild
Look at my mouth, look at my thighs
This water is wet, come take a dive

Tie me up like I'm surprised
Let's roleplay, I wear a disguise
I want you to park that big Mack truck right in this little garage
Make me dream, make a stream
Out in public, make a scene
I don't cook, I don't clean
But let me tell you, I got this ring (ayy, ayy)

Gobble me, swallow me, drip down the side of me (yeah)
Quick, jump out 'fore you let it get inside of me (yeah)
I tell him where to put it, never tell him where I'm 'bout to be
I run down on him 'fore I have a (ayy) runnin' me
...
"
33,DÁKITI,Bad Bunny,95,"reggaeton, trap latino, urbano latino",205090,2020-10-30,80,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4,"Baby, ya yo me enteré, se nota cuando me ve'
Ahí, donde no has llega'o, sabes que yo te llevaré
Y dime, ¿qué quieres beber?, es que tú eres mi bebé
¿Y de nosotros quién va a hablar, si no nos dejamos ver?

Y a vece' e'Dolce, a vece' Bulgari
Cuando te lo quito después de lo' party
Las copa' de vino, las libra' de mari'
Tú estás bien suelta, yo de safari

Tú muevе' el culo fenomenal
Pa yo devorarte como animal
Si no te ha' veni'o, yo te vo'a esperar
En mi cama, y lo vo'a celebrar

Baby, a ti no me opongo
Y siempre te lo pongo
Y si tú me tira', vamo' a nadar en lo hondo

Si e'por mí, te lo pongo
De septiembre hasta agosto
...
"
34,Seven (feat. Latto),Jung Kook,86,k-pop,184400,2023-07-14,88,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,4,"Weight of the world on your shoulders
I'll kiss your waist and ease your mind
I must be favored to know ya
I'll take my hands and trace your lines

It's the way that we can ride, it's the way that we can ride (oh-oh, oh-oh)
Think I met you in another life, so break me off another time (oh-oh, oh-oh)
You wrap around me and you give me life
And that's why night after night, I'll be lovin' you right

Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (a week)
Monday, Tuesday, Wednesday, Thursday, Friday (seven days a week)
Every hour, every minute, every second
You know night after night, I'll be lovin' you right, seven days a week

You love when I jump right in, all of me, I'm offering
Show you what devotion is, deeper than the ocean is
Wind it back, I'll take it slow, leave you with that afterglow
Show you what devotion is, deeper than the ocean is

It's the way that we can ride, it's the way that we can ride (oh-oh, oh-oh)
...
"
35,Anti-Hero,Taylor Swift,100,pop,200690,2022-10-21,92,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,4,"I have this thing where I get older, but just never wiser
Midnights become my afternoons
When my depression works the graveyard shift
All of the people I've ghosted stand there in the room

I should not be left to my own devices
They come with prices and vices
I end up in crises
Tale as old as time
I wake up screaming from dreaming
One day I'll watch as you're leaving
'Cause you got tired of my scheming
For the last time

It's me
Hi!
I'm the problem, it's me
At teatime
Everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero

Sometimes I feel like everybody is a sexy baby
...
"
36,death bed (coffee for your head),Powfu,68,"sad lo-fi, sad rap",173333,2020-02-08,83,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4,"Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed

Yeah, I don't wanna fall asleep, I don't wanna pass away
I been thinking of our future, 'cause I'll never see those days
I don't know why this has happened, but I probably deserve it
I tried to do my best, but you know that I'm not perfect

I been praying for forgiveness, you've been praying for my health
When I leave this Earth, hoping you'll find someone else
'Cause, yeah, we still young, there's so much we haven't done
Getting married, start a family, watch your husband with his son

I wish it could be me, but I won't make it out this bed
I hope I go to Heaven, so I see you once again
My life was kinda short, but I got so many blessings
Happy you were mine, it sucks that it's all ending

...
"
37,Good Days,SZA,90,"pop, r&b, rap",279204,2020-12-25,83,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,4,"Good day in my mind, safe to take a step out
Get some air now, let your edge out
Too soon, I spoke, you be heavy in my mind
Can you get the heck out?
I need rest now, got me bummed out
You so, you so, you, baby, baby, babe
I've been on my empty mind shit

I try to keep from losin' the rest of me
I worry that I wasted the best of me on you, baby
You don't care
Said, ""Not tryna be a nuisance, it's just urgent""
Tryna make sense of loose change
Got me a war in my mind
Gotta let go of weight, can't keep what's holdin' me
Choose to watch
While the world break up and fall on me

All the while, I'll await my armored fate with a smile
...
"
38,Heartbreak Anniversary,Giveon,76,r&b,198370,2020-03-27,82,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3,"Balloons are deflated
Guess they look lifeless like me
We miss you on your side of the bed, mm-mm
Still got your things here
And they stare at me like souvenir
Don't wanna let you out my head

Just like the day that I met you, the day I thought forever
Said that you love me, but that'll last for never
It's cold outside, like when you walked out my life
Why you walk out my life?

I get like this every time
On these days that feel like you and me
Heartbreak anniversary
...
"
39,Heat Waves,Glass Animals,74,"gauze pop, indietronica, modern rock, pov: indie, shiver pop",238805,2020-08-06,19,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,"(Last night, all I think about is you)
(Don't stop, baby, you can walk)

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been faking me out
Can't make you happier now

Usually, I put something on TV
So we never think about you and me
But today I see our reflections clearly
In Hollywood, laying on the screen

You just need a better life than this
You need something I can never give
Fake water all across the road
It's gone now, the night has come, but

Sometimes all I think about is you
...
"
