Track Name,Artist
Ghost,Justin Bieber
THATS WHAT I WANT,Lil Nas X
Lavender Haze,Taylor Swift
Envolver,Anitta
DESPECHÁ,ROSALÍA
Me Porto Bonito,Bad Bunny
traitor,Olivia Rodrigo
Out of Time,The Weeknd
Massive,Drake
Cold Heart - PNAU Remix,Elton John
Super Freaky Girl,Nicki Minaj
Boyfriend,Dove Cameron
Pink Venom,BLACKPINK
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
Shirt,SZA
I Ain't Worried,OneRepublic
Bam Bam (feat. Ed Sheeran),Camila Cabello
La Bachata,Manuel Turizo
PROVENZA,KAROL G
MIDDLE OF THE NIGHT,Elley Duhé
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons
Jimmy Cooks (feat. 21 Savage),Drake
I Like You (A Happier Song) (with Doja Cat),Post Malone
Oh My God,Adele
We Don't Talk About Bruno,Carolina Gaitán - La Gaita
Una Noche en Medellín,Cris Mj
All For Us,Labrinth
Where Are You Now,Lost Frequencies
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X
Infinity,Jaymes Young
MAMIII,Becky G
Sacrifice,The Weeknd
Sweetest Pie,Megan Thee Stallion
Ojitos Lindos,Bad Bunny
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna
Snow On The Beach (feat. Lana Del Rey),Taylor Swift
One Right Now (with The Weeknd),Post Malone
BREAK MY SOUL,Beyoncé
Woman,Doja Cat
Te Felicito,Shakira
Shut Down,BLACKPINK
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,The Weeknd
STAY (with Justin Bieber),The Kid LAROI
29,Demi Lovato
When You're Gone,Shawn Mendes
The Joker And The Queen (feat. Taylor Swift),Ed Sheeran
I’m Tired (with Zendaya) - Bonus Track,Labrinth
Notion,The Rare Occasions
Light Switch,Charlie Puth
Nail Tech,Jack Harlow
N95,Kendrick Lamar
WAIT FOR U (feat. Drake & Tems),Future
Honest (feat. Don Toliver),Justin Bieber
Fingers Crossed,Lauren Spencer Smith
TV,Billie Eilish
she's all i wanna be,Tate McRae
Evergreen (You Didn’t Deserve Me At All),Omar Apollo
Yet To Come,BTS
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat
Desesperados,Rauw Alejandro
The Heart Part 5,Kendrick Lamar
ALIEN SUPERSTAR,Beyoncé
It'll Be Okay,Shawn Mendes
SKIN OF MY TEETH,Demi Lovato
SUMMER RENAISSANCE,Beyoncé
I'm Good (Blue),David Guetta
Hold Me Closer,Elton John
Calm Down (with Selena Gomez),Rema
SNAP,Rosa Linn
Until I Found You,Stephen Sanchez
Made You Look,Meghan Trainor
Midnight Rain,Taylor Swift
Big Energy,Latto
Doja,Central Cee
pushin P (feat. Young Thug),Gunna
Thousand Miles,The Kid LAROI
Kill Bill,SZA
vampire,Olivia Rodrigo
Die For You - Remix,The Weeknd
Cruel Summer,Taylor Swift
Seven (feat. Latto),Jung Kook
greedy,Tate McRae
Boy's a liar Pt. 2,PinkPantheress
Ella Baila Sola,Eslabon Armado
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap
Rich Flex,Drake
Paint The Town Red,Doja Cat
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
Calm Down (with Selena Gomez),Rema
La Bachata,Manuel Turizo
Here With Me,d4vd
Daylight,David Kushner
Karma,Taylor Swift
TQG,KAROL G
MONACO,Bad Bunny
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd
I KNOW ?,Travis Scott
Escapism.,RAYE
Lovin On Me,Jack Harlow
Last Night,Morgan Wallen
Water,Tyla
Snooze,SZA
Dance The Night - From Barbie The Album,Dua Lipa
I'm Good (Blue),David Guetta
Cupid - Twin Ver.,FIFTY FIFTY
bad idea right?,Olivia Rodrigo
Chemical,Post Malone
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez
On My Mama,Victoria Monét
See You Again (feat. Kali Uchis),"Tyler, The Creator"
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj
La Bebe - Remix,Yng Lvcas
K-POP,Travis Scott
Houdini,Dua Lipa
Moonlight,Kali Uchis
get him back!,Olivia Rodrigo
Super Shy,NewJeans
Nonsense,Sabrina Carpenter
Romantic Homicide,d4vd
I Wanna Be Yours,Arctic Monkeys
TELEKINESIS (feat. SZA & Future),Travis Scott
My Love Mine All Mine,Mitski
Say Yes To Heaven,Lana Del Rey
Nobody Gets Me,SZA
All Of The Girls You Loved Before,Taylor Swift
Forget Me,Lewis Capaldi
Single Soon,Selena Gomez
Made You Look,Meghan Trainor
Strangers,Kenya Grace
Standing Next to You,Jung Kook
Ditto,NewJeans
Used To Be Young,Miley Cyrus
Eyes Closed,Ed Sheeran
Anti-Hero,Taylor Swift
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo
un x100to,Grupo Frontera
LALA,Myke Towers
(It Goes Like) Nanana - Edit,Peggy Gou
Rush,Troye Sivan
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap
BESO,ROSALÍA
Sprinter,Dave
All My Life (feat. J. Cole),Lil Durk
Double Fantasy (with Future),The Weeknd
Search & Rescue,Drake
LET GO,Central Cee
Tattoo,Loreen
Never Felt So Alone,Labrinth
Heaven,Niall Horan
Acróstico - Milan y Sasha,Shakira
Yandel 150,Yandel
La Jumpa,Arcángel
Columbia,Quevedo
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin
Players,Coi Leray
Baby Don't Hurt Me,David Guetta
DOGTOOTH,"Tyler, The Creator"
Mona Lisa (Spider-Man: Across the Spider-Verse),Dominic Fike
Fast Car,Luke Combs
3D (feat. Jack Harlow),Jung Kook
Slime You Out (feat. SZA),Drake
Agora Hills,Doja Cat
What It Is (Solo Version),Doechii
exes,Tate McRae
QLONA,KAROL G
LOVE AGAIN,The Kid LAROI
Feather,Sabrina Carpenter
Attention,Doja Cat
The Hills,The Weeknd
24K Magic,Bruno Mars
Dangerous Woman,Ariana Grande
Can't Feel My Face,The Weeknd
Pink + White,Frank Ocean
I Wanna Be Yours,Arctic Monkeys
Starboy,The Weeknd
Into You,Ariana Grande
Style (Taylor's Version),Taylor Swift
See You Again (feat. Kali Uchis),"Tyler, The Creator"
"thank u, next",Ariana Grande
What Do You Mean?,Justin Bieber
Locked out of Heaven,Bruno Mars
Counting Stars,OneRepublic
7 rings,Ariana Grande
One Last Time,Ariana Grande
Mirrors,Justin Timberlake
Blank Space (Taylor's Version),Taylor Swift
no tears left to cry,Ariana Grande
Treat You Better,Shawn Mendes
goosebumps,Travis Scott
Look What You Made Me Do,Taylor Swift
Old Town Road - Remix,Lil Nas X
Adore You,Harry Styles
New Rules,Dua Lipa
This Is What You Came For,Calvin Harris
Best Song Ever,One Direction
Paradise,Coldplay
Cool for the Summer,Demi Lovato
Break Free,Ariana Grande
Cruel Summer,Taylor Swift
Love Me Harder,Ariana Grande
Talking to the Moon,Bruno Mars
Back To You,Selena Gomez
Diamonds,Rihanna
Drag Me Down,One Direction
Live While We're Young,One Direction
Love On The Brain,Rihanna
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis
Baby,Justin Bieber
Bloody Mary,Lady Gaga
Needed Me,Rihanna
Let Me Down Slowly,Alec Benjamin
Sweater Weather,The Neighbourhood
When We Were Young,Adele
Young And Beautiful,Lana Del Rey
Lose You To Love Me,Selena Gomez
High Hopes,Panic! At The Disco
Blinding Lights,The Weeknd
All The Stars (with SZA),Kendrick Lamar
bloodline,Ariana Grande
Attention,Charlie Puth
God is a woman,Ariana Grande
Ride,Twenty One Pilots
3 Nights,Dominic Fike
"break up with your girlfriend, i'm bored",Ariana Grande
Doin' Time,Lana Del Rey
Solo (feat. Demi Lovato),Clean Bandit
Mercy,Shawn Mendes
PILLOWTALK,ZAYN
That's What I Like,Bruno Mars
The Way,Ariana Grande
Circles,Post Malone
Sorry Not Sorry,Demi Lovato
I Like It,Cardi B
Sucker,Jonas Brothers
There's Nothing Holdin' Me Back,Shawn Mendes
HUMBLE.,Kendrick Lamar
Señorita,Shawn Mendes
Side To Side,Ariana Grande
Wait a Minute!,WILLOW
Anaconda,Nicki Minaj
Sugar,Maroon 5
Wake Me Up,Avicii
"thank u, next",Ariana Grande
Señorita,Shawn Mendes
7 rings,Ariana Grande
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
Cruel Summer,Taylor Swift
lovely (with Khalid),Billie Eilish
Shallow,Lady Gaga
Let Me Down Slowly,Alec Benjamin
Someone You Loved,Lewis Capaldi
SICKO MODE,Travis Scott
Lover,Taylor Swift
Circles,Post Malone
High Hopes,Panic! At The Disco
Ransom,Lil Tecca
when the party's over,Billie Eilish
Sweet but Psycho,Ava Max
You Need To Calm Down,Taylor Swift
Wow.,Post Malone
MIDDLE CHILD,J. Cole
Bruises,Lewis Capaldi
Doin' Time,Lana Del Rey
a lot,21 Savage
Lose You To Love Me,Selena Gomez
Better Now,Post Malone
Sucker,Jonas Brothers
EARFQUAKE,"Tyler, The Creator"
ZEZE (feat. Travis Scott & Offset),Kodak Black
Hold Me While You Wait,Lewis Capaldi
Going Bad (feat. Drake),Meek Mill
boyfriend (with Social House),Ariana Grande
Goodbyes (feat. Young Thug),Post Malone
Con Calma,Daddy Yankee
Money In The Grave (Drake ft. Rick Ross),Drake
Nights Like This (feat. Ty Dolla $ign),Kehlani
Pop Out (feat. Lil Tjay),Polo G
Location (feat. Burna Boy),Dave
MIA,Bad Bunny
Please Me,Cardi B
Boy With Luv (feat. Halsey),BTS
"break up with your girlfriend, i'm bored",Ariana Grande
Look Back at It,A Boogie Wit da Hoodie
Old Town Road - Remix,Lil Nas X
Dance Monkey,Tones And I
Don't Call Me Up,Mabel
Pure Water (with Migos),Mustard
bury a friend,Billie Eilish
3 Nights,Dominic Fike
Old Town Road,Lil Nas X
China,Anuel AA
Here With Me,Marshmello
Callaita,Bad Bunny
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson
Beautiful People (feat. Khalid),Ed Sheeran
SOS (feat. Aloe Blacc),Avicii
Soltera (Remix),Lunay
Dancing With A Stranger (with Normani),Sam Smith
Kill This Love,BLACKPINK
Adan y Eva,Paulo Londra
Bohemian Rhapsody - Remastered 2011,Queen
Calma - Remix,Pedro Capó
Shotta Flow (feat. Blueface) - Remix,NLE Choppa
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake
Secreto,Anuel AA
Grace,Lewis Capaldi
My Type,Saweetie
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie
One Thing Right,Marshmello
Good as Hell,Lizzo
Better,Khalid
So Am I,Ava Max
Money,Cardi B
Piece Of Your Heart,MEDUZA
Only Human,Jonas Brothers
I Don't Care (with Justin Bieber),Ed Sheeran & Justin Bieber
Slide Away,Miley Cyrus
Talk (feat. Disclosure),Khalid
How Do You Sleep?,Sam Smith
Panini,Lil Nas X
Giant (with Rag'n'Bone Man),Calvin Harris
Suge,DaBaby
Otro Trago,Sech
Light On,Maggie Rogers
Lost Without You,Freya Ridings
Motivation,Normani
Easier,5 Seconds of Summer
Never Really Over,Katy Perry
Ladbroke Grove,AJ Tracey
Riptide,Vance Joy
Starboy,The Weeknd
7 rings,Ariana Grande
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis
New Rules,Dua Lipa
Havana (feat. Young Thug),Camila Cabello
drivers license,Olivia Rodrigo
Someone You Loved,Lewis Capaldi
Die For You,The Weeknd
Wake Me Up,Avicii
Love Yourself,Justin Bieber
Treat You Better,Shawn Mendes
Do I Wanna Know?,Arctic Monkeys
Let Me Love You,DJ Snake
One Kiss (with Dua Lipa),Calvin Harris
SICKO MODE,Travis Scott
No Role Modelz,J. Cole
Happier,Marshmello
Counting Stars,OneRepublic
Circles,Post Malone
Blinding Lights,The Weeknd
HUMBLE.,Kendrick Lamar
XO Tour Llif3,Lil Uzi Vert
The Hills,The Weeknd
Demons,Imagine Dragons
Stressed Out,Twenty One Pilots
Heat Waves,Glass Animals
Jocelyn Flores,XXXTENTACION
goosebumps,Travis Scott
Shallow,Lady Gaga
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
lovely (with Khalid),Billie Eilish
Watermelon Sugar,Harry Styles
Señorita,Shawn Mendes
Thunder,Imagine Dragons
Sweater Weather,The Neighbourhood
SAD!,XXXTENTACION
Believer,Imagine Dragons
Something Just Like This,The Chainsmokers
STAY (with Justin Bieber),The Kid LAROI
Bohemian Rhapsody - Remastered 2011,Queen
Say You Won't Let Go,James Arthur
Photograph,Ed Sheeran
Dance Monkey,Tones And I
Paranoid - 2012 - Remaster,Black Sabbath
Don’t Blame Me,Taylor Swift
I Wanna Be Yours,Arctic Monkeys
Space Song,Beach House
Starboy,The Weeknd
Cruel Summer,Taylor Swift
Sweater Weather,The Neighbourhood
I'm Good (Blue),David Guetta
Someone You Loved,Lewis Capaldi
Apocalypse,Cigarettes After Sex
Blinding Lights,The Weeknd
Lover,Taylor Swift
See You Again (feat. Kali Uchis),"Tyler, The Creator"
Pink + White,Frank Ocean
I Ain't Worried,OneRepublic
Locked out of Heaven,Bruno Mars
Anti-Hero,Taylor Swift
No Role Modelz,J. Cole
Heartless,Kanye West
lovely (with Khalid),Billie Eilish
I Love You So,The Walters
cardigan,Taylor Swift
In the End,Linkin Park
Why'd You Only Call Me When You're High?,Arctic Monkeys
Heat Waves,Glass Animals
Save Your Tears,The Weeknd
Believer,Imagine Dragons
Dark Red,Steve Lacy
Do I Wanna Know?,Arctic Monkeys
Take on Me,a-ha
The Hills,The Weeknd
Iris,The Goo Goo Dolls
Dandelions,Ruth B.
goosebumps,Travis Scott
Yeah! (feat. Lil Jon & Ludacris),USHER
Night Changes,One Direction
That's What I Like,Bruno Mars
Say You Won't Let Go,James Arthur
Wake Me Up,Avicii
Me Porto Bonito,Bad Bunny
Watermelon Sugar,Harry Styles
All The Stars (with SZA),Kendrick Lamar
Circles,Post Malone
Thunder,Imagine Dragons
Calm Down (with Selena Gomez),Rema
Sweet Child O' Mine,Guns N' Roses
traitor,Olivia Rodrigo
Fortunate Son,Creedence Clearwater Revival
There's Nothing Holdin' Me Back,Shawn Mendes
A Sky Full of Stars,Coldplay
Something Just Like This,The Chainsmokers
Young And Beautiful,Lana Del Rey
drivers license,Olivia Rodrigo
Dreams - 2004 Remaster,Fleetwood Mac
Let Me Down Slowly,Alec Benjamin
The Nights,Avicii
Stressed Out,Twenty One Pilots
The Less I Know The Better,Tame Impala
Seven Nation Army,The White Stripes
Love On The Brain,Rihanna
Seven (feat. Latto),Jung Kook
Let Me Love You,DJ Snake
Maps,Maroon 5
Daddy Issues,The Neighbourhood
Ain't No Mountain High Enough,Marvin Gaye
Revenge,XXXTENTACION
Treat You Better,Shawn Mendes
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap
The Box,Roddy Ricch
Stick Season,Noah Kahan
Just Give Me a Reason (feat. Nate Ruess),P!nk
Counting Stars,OneRepublic
Unstoppable,Sia
Lover,Taylor Swift
Dance The Night - From Barbie The Album,Dua Lipa
I Ain't Worried,OneRepublic
Something in the Orange,Zach Bryan
lovely (with Khalid),Billie Eilish
Anti-Hero,Taylor Swift
Heat Waves,Glass Animals
Nonsense,Sabrina Carpenter
Ghost,Justin Bieber
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez
Iris,The Goo Goo Dolls
Fast Car,Luke Combs
Night Changes,One Direction
Say You Won't Let Go,James Arthur
Circles,Post Malone
Skyfall,Adele
Thunder,Imagine Dragons
Something Just Like This,The Chainsmokers
Lil Boo Thang,Paul Russell
Love On The Brain,Rihanna
Maps,Maroon 5
Before You Go,Lewis Capaldi
Stay With Me,Sam Smith
Love Yourself,Justin Bieber
Photograph,Ed Sheeran
Memories,Maroon 5
Fix You,Coldplay
SNAP,Rosa Linn
"Hey, Soul Sister",Train
Paradise,Coldplay
Story of My Life,One Direction
This Love,Maroon 5
Riptide,Vance Joy
STAY (with Justin Bieber),The Kid LAROI
Cold Heart - PNAU Remix,Elton John
Leave Before You Love Me (with Jonas Brothers),Marshmello
Chasing Cars,Snow Patrol
This Town,Niall Horan
Dancing On My Own,Calum Scott
She Will Be Loved - Radio Mix,Maroon 5
I Like Me Better,Lauv
Last Night,Morgan Wallen
Mercy,Shawn Mendes
Wrecking Ball,Miley Cyrus
Sugar,Maroon 5
Complicated,Avril Lavigne
Lose You To Love Me,Selena Gomez
The Reason,Hoobastank
Best Day Of My Life,American Authors
Drops of Jupiter (Tell Me),Train
Love Story (Taylor’s Version),Taylor Swift
Try,P!nk
The Middle,Zedd
Unconditionally,Katy Perry
Heartbreak Anniversary,Giveon
Scars To Your Beautiful,Alessia Cara
GHOST TOWN,Benson Boone
A Thousand Miles,Vanessa Carlton
Señorita,Shawn Mendes
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor
Someone To You,BANNERS
Bleeding Love,Leona Lewis
Arcade,Duncan Laurence
What About Us,P!nk
If the World Was Ending (feat. Julia Michaels),JP Saxe
Girls Just Want to Have Fun,Cyndi Lauper
Fast Car,Tracy Chapman
If I Could Turn Back Time,Cher
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
Total Eclipse of the Heart,Bonnie Tyler
Running Up That Hill (A Deal With God),Kate Bush
Smooth Operator - Single Version,Sade
"Heaven Is A Place On Earth - Promo 7"" Edit",Belinda Carlisle
I Love Rock 'N Roll,Joan Jett & the Blackhearts
Take on Me,a-ha
Sweet Child O' Mine,Guns N' Roses
Back In Black,AC/DC
Sweet Dreams (Are Made of This) - Remastered,Eurythmics
Welcome To The Jungle,Guns N' Roses
Everywhere - 2017 Remaster,Fleetwood Mac
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths
You Make My Dreams (Come True),Daryl Hall & John Oates
Paradise City,Guns N' Roses
Cheri Cheri Lady,Modern Talking
Maneater,Daryl Hall & John Oates
With Or Without You,U2
Start Me Up - Remastered 2009,The Rolling Stones
Wake Me Up Before You Go-Go,Wham!
Nothing's Gonna Stop Us Now,Starship
Dancing In the Dark,Bruce Springsteen
Should I Stay or Should I Go - Remastered,The Clash
Bette Davis Eyes,Kim Carnes
Baby Can I Hold You,Tracy Chapman
Kickstart My Heart,Mötley Crüe
Don't You Want Me,The Human League
Jump - 2015 Remaster,Van Halen
Rock with You - Single Version,Michael Jackson
Every Little Thing She Does Is Magic,The Police
Flashdance...What a Feeling - Radio Edit,Irene Cara
9 to 5,Dolly Parton
You Can't Hurry Love - 2016 Remaster,Phil Collins
Lay All Your Love On Me,ABBA
Don't You (Forget About Me),Simple Minds
I'm On Fire,Bruce Springsteen
In The Air Tonight - 2015 Remastered,Phil Collins
Right Here Waiting,Richard Marx
We Built This City,Starship
Another Day in Paradise - 2016 Remaster,Phil Collins
We Didn't Start the Fire,Billy Joel
Don't Dream It's Over,Crowded House
I Won't Back Down,Tom Petty
99 Luftballons,Nena
The Lady In Red,Chris de Burgh
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins
Self Control,Laura Branigan
Little Lies - 2017 Remaster,Fleetwood Mac
The Winner Takes It All,ABBA
We're Not Gonna Take It,Twisted Sister
Smooth Criminal - 2012 Remaster,Michael Jackson
You Can Call Me Al,Paul Simon
Panama - 2015 Remaster,Van Halen
You're the Inspiration - 2006 Remaster,Chicago
Your Love,The Outfield
Another One Bites The Dust - Remastered 2011,Queen
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler
Gypsy,Fleetwood Mac
CARNIVAL,¥$
redrum,21 Savage
Whatever She Wants,Bryson Tiller
Bandit,Don Toliver
FUK SUMN,¥$
Let's Go,Key Glock
Never Lose Me,Flo Milli
First Person Shooter (feat. J. Cole),Drake
Surround Sound (feat. 21 Savage & Baby Tate),JID
ONE CALL,Rich Amiri
née-nah,21 Savage
Like What (Freestyle),Cardi B
Giving Chanel,Meek Mill
GET OFF ME (with Travis Scott),Kid Cudi
02.02.99,That Mexican OT
Loop Hole (feat. 21 Savage),Tee Grizzley
Breathe,Yeat
Himothy,Quavo
Mmhmm,BigXthaPlug
I KNOW ?,Travis Scott
IDGAF (feat. Yeat),Drake
Shampoo,Kodak Black
BACK TO ME,¥$
n.h.i.e.,21 Savage
MY EYES,Travis Scott
Down With Me,Lil Tecca
As We Speak (feat. Drake),Yeat
PISTOL PACCIN,NLE Choppa
Think U The Shit (Fart),Ice Spice
GRAMMY PARTY,DaBaby
Homebody,Rob49
THank god 4 me,ScHoolboy Q
Bittersweet,Gunna
FTCU,Nicki Minaj
Yeern 101,ScHoolboy Q
SAY MY GRACE (feat. Travis Scott),Offset
Bachelor,Turbo
HISS,Megan Thee Stallion
Cupid's Guidance,Sleepy Hallow
Lovin On Me,Jack Harlow
Get In With Me,BossMan Dlow
Sorrys & Ferraris,Polo G
A Cold Sunday,Lil Yachty
Old Days,Lil Durk
we don't fight anymore,Carly Pearce
Burn It Down - Radio Edit,Parker McCollum
Wildflowers and Wild Horses (Single Version),Lainey Wilson
